PRINTING_ID,CARD_ID,SET_ID,RARITY,FOIL,ALT_ART,OVERNUMBERED,SIGNED,RELEASE_DATE,IMAGE_URL
1,1,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
2,2,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
3,3,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
4,4,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
5,5,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
6,6,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
7,7,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
7a,7,1,Overnumbered,FALSE,TRUE,TRUE,FALSE,2025-10-31,
8,8,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
9,9,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
10,10,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
11,11,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
12,12,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
13,13,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
14,14,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
15,15,1,Uncommon,FALSE,FALSE,FALSE,FALSE,2025-10-31,
16,16,1,Uncommon,FALSE,FALSE,FALSE,FALSE,2025-10-31,
17,17,1,Uncommon,FALSE,FALSE,FALSE,FALSE,2025-10-31,
18,18,1,Uncommon,FALSE,FALSE,FALSE,FALSE,2025-10-31,
19,19,1,Uncommon,FALSE,FALSE,FALSE,FALSE,2025-10-31,
20,20,1,Uncommon,FALSE,FALSE,FALSE,FALSE,2025-10-31,
21,21,1,Uncommon,FALSE,FALSE,FALSE,FALSE,2025-10-31,
22,22,1,Uncommon,FALSE,FALSE,FALSE,FALSE,2025-10-31,
23,23,1,Uncommon,FALSE,FALSE,FALSE,FALSE,2025-10-31,
24,24,1,Uncommon,FALSE,FALSE,FALSE,FALSE,2025-10-31,
25,25,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
26,26,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
27,27,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
27a,27,1,Overnumbered,FALSE,TRUE,TRUE,FALSE,2025-10-31,
28,28,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
29,29,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
30,30,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
30a,30,1,Overnumbered,FALSE,TRUE,TRUE,FALSE,2025-10-31,
31,31,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
32,32,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
33,33,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
34,34,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
35,35,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
36,36,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
37,37,1,Epic,FALSE,FALSE,FALSE,FALSE,2025-10-31,
38,38,1,Epic,FALSE,FALSE,FALSE,FALSE,2025-10-31,
39,39,1,Epic,FALSE,FALSE,FALSE,FALSE,2025-10-31,
39a,39,1,Overnumbered,FALSE,TRUE,TRUE,FALSE,2025-10-31,
40,40,1,Epic,FALSE,FALSE,FALSE,FALSE,2025-10-31,
41,41,1,Epic,FALSE,FALSE,FALSE,FALSE,2025-10-31,
41a,41,1,Overnumbered,FALSE,TRUE,TRUE,FALSE,2025-10-31,
42,42,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
42a,42,1,Overnumbered,FALSE,TRUE,TRUE,FALSE,2025-10-31,
43,43,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
44,44,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
45,45,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
46,46,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
47,47,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
48,48,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
49,49,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
50,50,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
51,51,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
52,52,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
53,53,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
54,54,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
55,55,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
56,56,1,Uncommon,FALSE,FALSE,FALSE,FALSE,2025-10-31,
57,57,1,Uncommon,FALSE,FALSE,FALSE,FALSE,2025-10-31,
58,58,1,Uncommon,FALSE,FALSE,FALSE,FALSE,2025-10-31,
59,59,1,Uncommon,FALSE,FALSE,FALSE,FALSE,2025-10-31,
60,60,1,Uncommon,FALSE,FALSE,FALSE,FALSE,2025-10-31,
61,61,1,Uncommon,FALSE,FALSE,FALSE,FALSE,2025-10-31,
62,62,1,Uncommon,FALSE,FALSE,FALSE,FALSE,2025-10-31,
63,63,1,Uncommon,FALSE,FALSE,FALSE,FALSE,2025-10-31,
64,64,1,Uncommon,FALSE,FALSE,FALSE,FALSE,2025-10-31,
65,65,1,Uncommon,FALSE,FALSE,FALSE,FALSE,2025-10-31,
66,66,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
66a,66,1,Overnumbered,FALSE,TRUE,TRUE,FALSE,2025-10-31,
67,67,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
68,68,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
69,69,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
70,70,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
71,71,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
72,72,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
73,73,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
74,74,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
75,75,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
76,76,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
76a,76,1,Overnumbered,FALSE,TRUE,TRUE,FALSE,2025-10-31,
77,77,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
78,78,1,Epic,FALSE,FALSE,FALSE,FALSE,2025-10-31,
78a,78,1,Overnumbered,FALSE,TRUE,TRUE,FALSE,2025-10-31,
79,79,1,Epic,FALSE,FALSE,FALSE,FALSE,2025-10-31,
79a,79,1,Overnumbered,FALSE,TRUE,TRUE,FALSE,2025-10-31,
80,80,1,Epic,FALSE,FALSE,FALSE,FALSE,2025-10-31,
81,81,1,Epic,FALSE,FALSE,FALSE,FALSE,2025-10-31,
82,82,1,Epic,FALSE,FALSE,FALSE,FALSE,2025-10-31,
83,83,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
84,84,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
85,85,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
86,86,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
87,87,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
88,88,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
89,89,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
89a,89,1,Overnumbered,FALSE,TRUE,TRUE,FALSE,2025-10-31,
90,90,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
91,91,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
92,92,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
93,93,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
94,94,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
95,95,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
96,96,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
97,97,1,Uncommon,FALSE,FALSE,FALSE,FALSE,2025-10-31,
98,98,1,Uncommon,FALSE,FALSE,FALSE,FALSE,2025-10-31,
99,99,1,Uncommon,FALSE,FALSE,FALSE,FALSE,2025-10-31,
100,100,1,Uncommon,FALSE,FALSE,FALSE,FALSE,2025-10-31,
101,101,1,Uncommon,FALSE,FALSE,FALSE,FALSE,2025-10-31,
102,102,1,Uncommon,FALSE,FALSE,FALSE,FALSE,2025-10-31,
103,103,1,Uncommon,FALSE,FALSE,FALSE,FALSE,2025-10-31,
104,104,1,Uncommon,FALSE,FALSE,FALSE,FALSE,2025-10-31,
105,105,1,Uncommon,FALSE,FALSE,FALSE,FALSE,2025-10-31,
106,106,1,Uncommon,FALSE,FALSE,FALSE,FALSE,2025-10-31,
107,107,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
108,108,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
109,109,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
110,110,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
111,111,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
112,112,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
112a,112,1,Overnumbered,FALSE,TRUE,TRUE,FALSE,2025-10-31,
113,113,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
114,114,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
115,115,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
116,116,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
117,117,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
117a,117,1,Overnumbered,FALSE,TRUE,TRUE,FALSE,2025-10-31,
118,118,1,Rare,FALSE,FALSE,FALSE,FALSE,2025-10-31,
119,119,1,Epic,FALSE,FALSE,FALSE,FALSE,2025-10-31,
119a,119,1,Overnumbered,FALSE,TRUE,TRUE,FALSE,2025-10-31,
120,120,1,Epic,FALSE,FALSE,FALSE,FALSE,2025-10-31,
121,121,1,Epic,FALSE,FALSE,FALSE,FALSE,2025-10-31,
121a,121,1,Overnumbered,FALSE,TRUE,TRUE,FALSE,2025-10-31,
122,122,1,Epic,FALSE,FALSE,FALSE,FALSE,2025-10-31,
123,123,1,Epic,FALSE,FALSE,FALSE,FALSE,2025-10-31,
124,124,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
125,125,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
126,126,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
126a,126,1,Overnumbered,FALSE,TRUE,TRUE,FALSE,2025-10-31,
127,127,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
128,128,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
129,129,1,Common,FALSE,FALSE,FALSE,FALSE,2025-10-31,
